,benign
0,118.745
0.1,2.482
0A,118.633
0B,8.462
0C,293.545
0D,27.007
0E,99.205
0F,29.025
1,32.396
10,2.226
11,58.985
12,140.867
13,74.942
14,10.953
15,4.621
16,5.418
17,0.68
18,0.682
19,0.446
1A,135.513
1C,4.283
1D,3.552
1E,7.73
1F,36.733
2,9.381
20,4.871
21,6.596
22,91.673
23,30.767
24,0.032
26,1.657
27,20.915
28,90.714
29,14.826
2B,2.595
2C,1.583
2D,0.881
2E,0.378
2F,0.306
30,0.182
31,2.9
32,7.127
33,11.197
34,3.197
35,10.004
36,1.049
37,2.417
38,80.322
39,36.019
3A,1.92
3B,1.596
3C,0.974
3D,5.495
4,0.819
44,3.025
45,0.154
46,5.776
47,0.057
48,2.946
49,0.432
4A,0.006
4B,3.313
4C,0.094
4D,78.788
4E,0.041
4F,2.385
5,0.845
50,0.195
51,0.002
52,123.567
53,5.842
54,326.43
55,11.758
56,0.446
57,0.16
58,0.111
59,65.784
5A,3.533
5B,63.297
5C,11.726
5D,0.105
5E,0.099
5F,0.048
60,5.868
61,0.136
62,43.781
63,1.256
64,0.001
65,0.061
66,0.008
67,1.002
68,0.105
69,15.766
6A,0.661
6C,0.047
6D,0.007
6E,406.452
6F,6.807
7,26.484
70,143.734
71,148.93
72,67.42
74,9.932
75,0.095
76,4.929
77,2.622
7B,0.367
7D,0.012
7F,0.087
8,31.698
80,0.001
81,1.426
82,4.79
83,0.511
84,0.782
85,0.096
86,0.131
87,1.772
88,0.049
89,0.313
8A,0.454
8B,0.068
8C,0.155
8D,1.638
8E,0.268
8F,0.038
90,2.336
91,2.1
92,0.207
93,0.126
94,0.071
95,0.091
96,0.201
97,0.008
98,0.078
99,0.013
9A,0.006
9B,0.137
9C,0.41
9D,0.065
9E,0.123
9F,0.019
A0,0.018
A1,0.02
A2,0.002
A3,0.023
A4,0.065
A5,0.11
A6,0.171
A7,0.594
A8,0.265
A9,0.466
AA,0.033
AB,0.017
AC,0.035
AD,0.186
AE,0.07
AF,0.001
B0,5.066
B1,2.273
B2,0.414
B3,0.067
B4,0.038
B5,18.674
B6,6.773
B7,21.411
B8,0.072
B9,0.004
BA,0.002
BB,0.557
BC,0.498
BD,0.18
BE,0.132
BF,0.029
C0,0.233
C1,0.091
C2,0.213
C3,0.099
C4,0.01
C5,0.16
C6,1.057
C7,0.653
C8,1.817
C9,0.868
CA,0.016
CB,0.133
CC,0.036
CD,0.367
CE,0.252
CF,0.027
D0,0.203
D2,0.068
D3,0.047
D4,0.024
D5,2.428
D6,0.103
D7,0.004
D8,16.483
DA,2.394
DB,1.265
DC,0.195
DD,1.613
DE,0.329
DF,12.013
E0,1.748
E1,0.628
E2,1.33
