,benign
0,1553.893
0.1,26.168
0A,1459.02
0B,106.257
0C,3261.616
0D,300.466
0E,1224.881
0F,388.427
1,377.677
10,25.89
11,763.525
12,1768.569
13,660.596
14,79.525
15,59.441
16,54.53
17,6.798
18,7.558
19,6.979
1A,1623.025
1C,46.467
1D,48.229
1E,104.797
1F,432.734
2,138.907
20,62.629
21,92.033
22,1050.071
23,200.61
24,0.367
26,22.876
27,283.574
28,1082.135
29,170.576
2B,34.499
2C,20.176
2D,15.045
2E,7.06
2F,3.655
30,2.872
31,30.762
32,87.149
33,135.292
34,42.034
35,132.698
36,17.944
37,26.997
38,953.647
39,432.472
3A,28.082
3B,20.406
3C,13.842
3D,59.238
4,11.328
44,51.665
45,4.353
46,72.373
47,1.017
48,54.379
49,8.192
4A,0.454
4B,67.718
4C,1.787
4D,392.039
4E,0.881
4F,40.517
5,11.613
50,7.392
51,0.672
52,2147.616
53,76.799
54,4787.441
55,144.406
56,2.5
57,3.129
58,1.403
59,1109.939
5A,44.486
5B,739.875
5C,144.1
5D,1.2
5E,1.741
5F,0.701
60,92.357
61,1.838
62,546.668
63,18.772
64,0.038
65,0.378
66,0.008
67,10.473
68,1.562
69,204.749
6A,7.582
6B,0.017
6C,0.241
6D,0.008
6E,4713.238
6F,78.741
7,295.897
70,1634.471
71,1829.317
72,836.125
74,104.418
75,1.408
76,58.863
77,33.164
7B,6.953
7D,0.26
7F,2.055
8,380.701
80,0.138
81,16.813
82,53.125
83,5.135
84,8.104
85,1.256
86,1.546
87,23.02
88,0.281
89,6.222
8A,3.815
8B,0.689
8C,3.029
8D,27.874
8E,5.637
8F,0.837
90,29.058
91,31.322
92,3.429
93,1.898
94,0.902
95,2.167
96,2.142
97,0.381
98,1.935
99,0.331
9A,0.128
9B,2.248
9C,4.707
9D,1.083
9E,0.898
9F,0.483
A0,0.712
A1,0.232
A2,0.1
A3,0.419
A4,0.817
A5,1.525
A6,4.61
A7,9.948
A8,6.217
A9,7.821
AA,0.437
AB,0.606
AC,0.861
AD,1.237
AE,1.223
AF,0.004
B0,69.412
B1,22.289
B2,5.172
B3,1.228
B4,0.608
B5,353.432
B6,125.167
B7,409.769
B8,1.15
B9,0.211
BA,0.136
BB,7.424
BC,5.053
BD,2.501
BE,1.202
BF,0.607
C0,4.774
C1,1.247
C2,2.262
C3,1.765
C4,0.7
C5,1.581
C6,14.834
C7,8.841
C8,20.865
C9,9.214
CA,0.184
CB,2.152
CC,0.869
CD,4.208
CE,2.055
CF,0.247
D0,2.874
D2,1.51
D3,1.13
D4,0.728
D5,38.774
D6,3.244
D7,0.08
D8,235.249
DA,23.904
DB,14.535
DC,5.3
DD,21.368
DE,5.995
DF,228.471
E0,29.167
E1,8.955
E2,20.51
