,benign
0,933.113
0.1,16.173
0A,863.897
0B,62.207
0C,1914.661
0D,184.523
0E,690.065
0F,231.711
1,202.794
10,16.861
11,479.446
12,1036.439
13,381.64
14,52.618
15,30.861
16,34.091
17,4.034
18,3.557
19,3.889
1A,941.537
1C,28.574
1D,28.466
1E,61.828
1F,258.595
2,82.138
20,40.145
21,50.859
22,583.3
23,110.434
24,0.09
26,7.396
27,167.574
28,655.478
29,104.003
2B,20.295
2C,12.534
2D,6.874
2E,2.924
2F,1.955
30,1.623
31,18.928
32,52.879
33,93.808
34,25.141
35,69.092
36,8.291
37,14.959
38,562.416
39,257.287
3A,14.861
3B,11.303
3C,7.884
3D,33.98
4,6.194
44,17.308
45,1.97
46,36.948
47,0.616
48,33.275
49,4.734
4A,0.27
4B,26.81
4C,0.917
4D,228.995
4E,0.528
4F,25.696
5,5.756
50,3.417
51,0.123
52,1211.601
53,43.425
54,2710.829
55,82.602
56,3.092
57,2.185
58,1.112
59,636.654
5A,28.22
5B,436.859
5C,83.693
5D,3.96
5E,1.12
5F,0.552
60,42.493
61,1.105
62,308.161
63,10.032
64,0.016
65,0.181
66,0.025
67,6.753
68,0.793
69,115.211
6A,4.686
6B,0.008
6C,0.082
6D,0.017
6E,2749.268
6F,46.458
7,179.504
70,922.05
71,1120.161
72,483.229
74,59.99
75,0.789
76,32.166
77,21.039
7B,4.097
7D,0.197
7F,0.771
8,233.285
80,0.044
81,9.084
82,23.312
83,2.491
84,4.419
85,0.736
86,0.933
87,10.846
88,0.143
89,2.271
8A,1.621
8B,0.462
8C,0.997
8D,15.767
8E,2.23
8F,0.534
90,15.894
91,16.689
92,1.087
93,0.759
94,0.475
95,1.203
96,1.47
97,0.133
98,0.728
99,0.062
9A,0.047
9B,0.78
9C,2.856
9D,0.422
9E,0.552
9F,0.225
A0,0.28
A1,0.143
A2,0.04
A3,0.242
A4,0.57
A5,0.562
A6,1.978
A7,4.022
A8,2.406
A9,3.392
AA,0.258
AB,0.177
AC,0.416
AD,0.573
AE,0.45
AF,0.013
B0,37.944
B1,12.006
B2,1.782
B3,0.545
B4,0.211
B5,195.861
B6,69.419
B7,224.528
B8,0.377
B9,0.072
BA,0.013
BB,3.713
BC,2.905
BD,1.41
BE,0.756
BF,0.283
C0,2.33
C1,0.812
C2,1.112
C3,1.073
C4,0.236
C5,0.649
C6,5.9
C7,3.127
C8,9.263
C9,3.83
CA,0.115
CB,1.009
CC,0.456
CD,1.843
CE,1.033
CF,0.171
D0,1.424
D2,0.76
D3,0.476
D4,0.282
D5,23.832
D6,3.652
D7,0.023
D8,119.065
DA,14.184
DB,6.54
DC,1.413
DD,27.663
DE,10.215
DF,126.094
E0,14.885
E1,4.404
E2,11.233
