,benign
0,7543.221
0.1,139.025
0A,7053.841
0B,522.937
0C,15927.115
0D,1604.385
0E,5907.645
0F,1948.909
1,1974.644
10,127.474
11,3798.564
12,8991.238
13,3241.669
14,431.051
15,301.539
16,291.882
17,35.045
18,37.717
19,35.5
1A,8139.146
1C,227.063
1D,254.123
1E,552.344
1F,2261.751
2,804.551
20,402.098
21,456.844
22,5138.011
23,960.385
24,0.95
26,73.292
27,1496.431
28,5661.261
29,966.401
2A,0.001
2B,179.844
2C,108.821
2D,72.165
2E,32.264
2F,19.945
3,0.317
30,16.032
31,154.086
32,487.954
33,767.312
34,218.823
35,612.422
36,78.24
37,131.565
38,4829.743
39,2156.943
3A,146.502
3B,111.327
3C,69.464
3D,287.469
4,53.546
44,192.615
45,20.121
46,379.709
47,5.588
48,211.372
49,44.319
4A,4.564
4B,267.939
4C,10.036
4D,1864.878
4E,4.99
4F,241.068
5,53.728
50,30.8
51,3.69
52,11979.371
53,376.527
54,25429.461
55,733.857
56,11.894
57,17.1
58,9.184
59,6217.249
5A,221.023
5B,3746.303
5C,727.76
5D,10.108
5E,9.649
5F,4.59
6,0.031
60,327.56
61,11.299
62,3085.845
63,89.102
64,0.303
65,2.059
66,0.333
67,54.59
68,8.377
69,1159.39
6A,39.694
6B,0.147
6C,0.686
6D,0.067
6E,23047.291
6F,402.487
7,1743.151
70,7897.388
71,9029.472
72,4072.623
74,525.184
75,9.429
76,273.044
77,191.084
7B,23.06
7C,0.002
7D,1.893
7F,10.018
8,2202.109
80,1.39
81,79.083
82,230.083
83,25.571
84,39.389
85,5.938
86,8.146
87,105.053
88,1.713
89,26.173
8A,15.922
8B,4.423
8C,12.851
8D,149.311
8E,22.944
8F,6.065
9,0.643
90,135.185
91,165.791
92,11.956
93,7.094
94,4.329
95,11.593
96,12.04
97,2.191
98,8.127
99,0.94
9A,0.736
9B,7.683
9C,21.306
9D,4.596
9E,4.485
9F,2.519
A0,3.805
A1,1.593
A2,0.348
A3,1.837
A4,4.92
A5,5.637
A6,24.326
A7,44.242
A8,29.89
A9,35.04
AA,2.642
AB,3.412
AC,5.38
AD,6.497
AE,5.776
AF,0.107
B0,323.05
B1,115.222
B2,19.692
B3,4.859
B4,2.737
B5,1994.685
B6,701.011
B7,2296.393
B8,3.788
B9,1.111
BA,0.305
BB,33.047
BC,25.311
BD,12.281
BE,5.956
BF,3.054
C0,22.587
C1,7.15
C2,9.896
C3,8.65
C4,3.071
C5,6.123
C6,67.99
C7,37.457
C8,103.718
C9,40.979
CA,1.09
CB,12.55
CC,5.448
CD,22.752
CE,10.731
CF,1.434
D0,12.391
D2,7.434
D3,4.486
D4,2.802
D5,213.178
D6,14.819
D7,0.194
D8,1087.752
DA,109.722
DB,61.163
DC,15.187
DD,142.471
DE,41.034
DF,1287.74
E0,146.554
E1,43.045
E2,108.348
