,benign
0,2754.471
0.1,43.38
0A,2456.041
0B,189.875
0C,5797.49
0D,549.238
0E,2109.023
0F,641.865
1,608.543
10,44.698
11,1296.795
12,3034.945
13,1110.369
14,151.904
15,102.343
16,99.911
17,12.376
18,15.346
19,14.261
1A,2883.316
1C,93.074
1D,89.087
1E,192.961
1F,764.868
2,260.129
20,114.291
21,153.292
22,1838.158
23,352.929
24,0.519
26,42.185
27,480.483
28,1885.978
29,322.798
2A,0.001
2B,57.662
2C,32.282
2D,22.368
2E,10.114
2F,7.174
3,0.317
30,5.458
31,55.039
32,154.359
33,249.18
34,74.272
35,211.024
36,30.759
37,45.879
38,1709.743
39,767.257
3A,47.174
3B,35.508
3C,22.446
3D,103.962
4,18.279
44,76.791
45,8.966
46,126.75
47,2.199
48,80.381
49,16.116
4A,0.834
4B,114.637
4C,4.203
4D,672.674
4E,2.075
4F,84.775
5,20.608
50,10.512
51,0.509
52,3231.963
53,133.163
54,7686.411
55,254.907
56,5.113
57,4.609
58,2.196
59,1690.461
5A,78.807
5B,1310.926
5C,256.813
5D,2.223
5E,2.661
5F,1.126
6,0.031
60,153.627
61,3.965
62,1044.248
63,34.715
64,0.083
65,0.743
66,0.041
67,24.744
68,3.178
69,377.792
6A,16.857
6B,0.028
6C,0.358
6D,0.035
6E,8239.007
6F,138.36
7,524.004
70,2856.29
71,3087.669
72,1424.36
74,215.571
75,2.803
76,102.149
77,70.466
7B,9.198
7C,0.002
7D,0.5
7F,3.719
8,841.269
80,0.329
81,30.182
82,84.754
83,10.106
84,14.303
85,2.14
86,2.678
87,37.258
88,0.624
89,9.451
8A,7.012
8B,1.507
8C,4.69
8D,44.056
8E,9.473
8F,1.151
9,0.643
90,46.254
91,51.526
92,4.694
93,3.183
94,1.49
95,3.575
96,4.172
97,0.731
98,2.662
99,0.314
9A,0.193
9B,3.331
9C,8.396
9D,1.824
9E,1.85
9F,0.818
A0,0.992
A1,0.381
A2,0.144
A3,0.644
A4,1.489
A5,2.194
A6,7.94
A7,14.866
A8,9.877
A9,12.231
AA,0.668
AB,1.372
AC,2.153
AD,2.954
AE,2.617
AF,0.034
B0,107.695
B1,38.036
B2,7.984
B3,1.905
B4,1.097
B5,512.063
B6,183.931
B7,594.064
B8,1.327
B9,0.273
BA,0.195
BB,13.032
BC,9.895
BD,4.559
BE,2.768
BF,1.041
C0,7.478
C1,2.228
C2,3.257
C3,2.832
C4,1.259
C5,2.231
C6,23.544
C7,13.088
C8,35.626
C9,16.125
CA,0.33
CB,4.606
CC,1.974
CD,9.442
CE,4.192
CF,0.402
D0,4.328
D2,3.252
D3,1.941
D4,1.069
D5,61.687
D6,4.88
D7,0.099
D8,388.748
DA,38.56
DB,23.849
DC,8.182
DD,39.041
DE,9.358
DF,330.934
E0,44.073
E1,16.012
E2,31.22
