,benign
0,3734.584
0.1,60.671
0A,3253.669
0B,247.988
0C,7597.789
0D,733.756
0E,2777.26
0F,866.594
1,784.41
10,60.177
11,1748.3
12,4027.389
13,1421.867
14,193.606
15,139.505
16,156.18
17,16.137
18,18.161
19,17.681
1A,3765.909
1C,127.553
1D,121.986
1E,263.502
1F,996.935
2,330.359
20,144.448
21,206.916
22,2408.767
23,429.034
24,0.457
26,50.159
27,641.474
28,2496.555
29,418.109
2A,0.001
2B,76.12
2C,42.025
2D,31.63
2E,14.444
2F,8.663
3,0.317
30,6.794
31,75.105
32,196.921
33,338.587
34,102.23
35,277.787
36,37.015
37,60.443
38,2235.794
39,1017.596
3A,60.552
3B,46.148
3C,31.469
3D,138.6
4,23.407
44,98.41
45,9.94
46,160.854
47,3.393
48,109.434
49,20.04
4A,1.366
4B,140.103
4C,5.054
4D,809.596
4E,3.079
4F,115.655
5,26.203
50,16.233
51,1.429
52,4776.439
53,174.206
54,10838.916
55,336.945
56,9.004
57,6.301
58,3.757
59,2482.088
5A,106.35
5B,1720.795
5C,346.098
5D,7.291
5E,3.437
5F,2.006
6,0.031
60,171.242
61,6.059
62,1346.945
63,44.857
64,0.271
65,0.805
66,0.325
67,30.763
68,4.571
69,486.919
6A,22.277
6B,0.125
6C,0.367
6D,0.06
6E,10875.825
6F,178.722
7,669.788
70,3746.85
71,4066.026
72,1936.642
74,263.025
75,3.223
76,133.181
77,88.73
7B,11.56
7C,0.002
7D,0.673
7F,4.655
8,1029.731
80,0.42
81,38.513
82,112.681
83,12.497
84,17.726
85,3.02
86,3.708
87,51.306
88,0.803
89,11.798
8A,8.294
8B,2.022
8C,5.887
8D,64.257
8E,10.471
8F,1.967
9,0.643
90,60.692
91,67.82
92,5.818
93,3.776
94,1.758
95,4.802
96,6.27
97,0.923
98,3.373
99,0.395
9A,0.236
9B,4.225
9C,10.811
9D,2.323
9E,2.22
9F,0.967
A0,1.336
A1,0.555
A2,0.128
A3,0.864
A4,2.055
A5,2.478
A6,11.159
A7,20.709
A8,13.693
A9,16.721
AA,0.933
AB,1.712
AC,2.571
AD,3.441
AE,2.913
AF,0.03
B0,147.776
B1,49.513
B2,9.546
B3,2.363
B4,1.253
B5,772.695
B6,275.065
B7,891.393
B8,1.753
B9,0.297
BA,0.196
BB,15.484
BC,12.567
BD,5.705
BE,3.416
BF,1.12
C0,9.177
C1,2.963
C2,4.036
C3,3.717
C4,1.231
C5,2.395
C6,31.935
C7,17.922
C8,50.457
C9,20.766
CA,0.414
CB,5.365
CC,2.379
CD,11.241
CE,5.083
CF,0.531
D0,5.758
D2,4.156
D3,2.405
D4,1.66
D5,92.931
D6,8.241
D7,0.112
D8,504.441
DA,49.238
DB,31.164
DC,8.185
DD,69.85
DE,20.757
DF,498.621
E0,63.083
E1,21.263
E2,45.091
