,benign
0,15.046
0.1,835.727
0A,809.456
0B,58.463
0C,1963.637
0D,167.124
0E,677.856
0F,211.752
1,230.605
10,14.163
11,433.971
12,1001.626
13,382.976
14,50.991
15,31.837
16,30.651
17,3.864
18,6.501
19,6.028
1A,914.721
1C,30.954
1D,26.058
1E,56.168
1F,259.101
2,74.223
20,44.171
21,51.588
22,629.047
23,123.972
24,0.157
26,22.706
27,165.516
28,625.797
29,103.974
2B,18.596
2C,10.049
2D,7.128
2E,3.234
2F,2.818
3,0.314
30,2.284
31,16.575
32,54.38
33,96.324
34,25.318
35,77.112
36,10.393
37,17.734
38,551.232
39,255.043
3A,17.707
3B,13.208
3C,7.675
3D,35.226
4,6.289
44,32.65
45,3.785
46,43.731
47,0.742
48,34.639
49,5.76
4A,0.328
4B,36.995
4C,2.005
4D,226.253
4E,0.598
4F,22.312
5,6.288
50,3.051
51,0.153
52,1071.822
53,37.957
54,2514.083
55,78.153
56,2.284
57,2.38
58,0.671
59,553.777
5A,23.599
5B,434.397
5C,77.492
5D,1.207
5E,1.11
5F,0.31
6,0.031
60,52.566
61,1.349
62,382.783
63,10.235
64,0.037
65,0.292
66,0.023
67,5.922
68,1.009
69,135.474
6A,4.776
6B,0.004
6C,0.166
6D,0.021
6E,2761.439
6F,44.277
7,179.182
70,961.561
71,960.168
72,473.627
74,74.775
75,0.948
76,35.489
77,20.825
7B,4.322
7D,0.209
7F,0.905
8,256.322
80,0.186
81,9.261
82,27.497
83,3.34
84,4.485
85,0.609
86,0.833
87,11.433
88,0.114
89,2.645
8A,2.458
8B,0.447
8C,1.275
8D,15.153
8E,3.561
8F,0.421
9,0.643
90,16.196
91,18.711
92,1.625
93,1.077
94,0.591
95,1.229
96,1.441
97,0.278
98,1.023
99,0.191
9A,0.085
9B,0.71
9C,2.283
9D,0.366
9E,0.553
9F,0.265
A0,0.198
A1,0.115
A2,0.034
A3,0.25
A4,0.535
A5,0.651
A6,1.806
A7,4.823
A8,2.792
A9,3.399
AA,0.206
AB,0.77
AC,1.068
AD,1.428
AE,1.061
AF,0.013
B0,41.996
B1,15.393
B2,3.06
B3,0.733
B4,0.389
B5,167.948
B6,60.943
B7,195.09
B8,0.694
B9,0.105
BA,0.07
BB,3.639
BC,2.765
BD,1.371
BE,0.793
BF,0.34
C0,2.274
C1,0.777
C2,1.199
C3,1.079
C4,0.309
C5,0.676
C6,7.844
C7,4.572
C8,11.215
C9,5.165
CA,0.118
CB,1.952
CC,0.995
CD,3.762
CE,1.366
CF,0.161
D0,1.369
D2,0.909
D3,0.546
D4,0.351
D5,21.575
D6,2.601
D7,0.057
D8,145.789
DA,13.517
DB,7.679
DC,2.633
DD,17.286
DE,5.502
DF,108.459
E0,15.666
E1,6.25
E2,10.718
