,benign
0,5306.991
0.1,97.119
0A,4966.525
0B,370.216
0C,11072.72
0D,1084.807
0E,4157.655
0F,1355.212
1,1294.781
10,90.984
11,2643.602
12,6182.518
13,2220.276
14,287.063
15,209.494
16,215.858
17,23.632
18,26.847
19,25.719
1A,5502.382
1C,168.917
1D,177.307
1E,384.837
1F,1518.376
2,494.16
20,234.301
21,311.404
22,3530.142
23,681.105
24,0.757
26,62.343
27,1001.986
28,3840.929
29,632.638
2A,0.001
2B,122.529
2C,73.774
2D,51.767
2E,23.449
2F,13.294
3,0.317
30,10.827
31,111.395
32,315.861
33,498.06
34,151.009
35,426.361
36,53.951
37,87.615
38,3353.888
39,1509.637
3A,94.75
3B,70.957
3C,48.746
3D,200.604
4,37.36
44,140.232
45,15.425
46,247.83
47,3.936
48,148.16
49,27.126
4A,2.274
4B,200.24
4C,7.744
4D,1366.598
4E,3.496
4F,158.192
5,39.822
50,21.595
51,2.241
52,7927.093
53,270.062
54,17226.658
55,517.06
56,10.775
57,9.642
58,7.037
59,4105.014
5A,160.4
5B,2557.592
5C,514.218
5D,8.116
5E,5.736
5F,3.483
6,0.031
60,254.47
61,7.92
62,2008.914
63,64.022
64,0.291
65,1.197
66,0.332
67,39.48
68,5.9
69,750.84
6A,29.177
6B,0.14
6C,0.478
6D,0.067
6E,16056.772
6F,274.935
7,1059.638
70,5506.799
71,6258.384
72,2913.539
74,351.842
75,5.409
76,191.546
77,119.23
7B,17.414
7C,0.002
7D,1.029
7F,7.322
8,1415.037
80,0.761
81,57.194
82,170.861
83,18.546
84,27.818
85,4.453
86,5.521
87,76.611
88,1.078
89,18.594
8A,11.931
8B,2.834
8C,9.12
8D,100.002
8E,14.509
8F,3.667
9,0.643
90,92.08
91,106.684
92,8.864
93,5.044
94,2.676
95,7.51
96,7.971
97,1.272
98,5.389
99,0.624
9A,0.389
9B,6.042
9C,15.93
9D,3.357
9E,3.18
9F,1.633
A0,2.667
A1,1.162
A2,0.294
A3,1.167
A4,3.184
A5,4.192
A6,16.875
A7,32.615
A8,20.917
A9,25.425
AA,1.731
AB,2.725
AC,4.106
AD,5.068
AE,4.318
AF,0.043
B0,232.443
B1,77.619
B2,14.328
B3,3.767
B4,2.113
B5,1307.845
B6,459.848
B7,1506.024
B8,2.738
B9,0.579
BA,0.251
BB,23.736
BC,17.954
BD,8.583
BE,4.547
BF,2.102
C0,15.156
C1,4.754
C2,6.822
C3,5.565
C4,2.028
C5,4.32
C6,48.843
C7,27.516
C8,75.666
C9,30.917
CA,0.725
CB,8.762
CC,3.879
CD,16.14
CE,7.917
CF,0.92
D0,8.968
D2,5.461
D3,3.351
D4,2.21
D5,141.937
D6,10.216
D7,0.129
D8,737.261
DA,75.23
DB,45.635
DC,11.349
DD,93.408
DE,26.884
DF,843.532
E0,97.639
E1,27.652
E2,71.534
